400.24814	129.841797904311
400.74606	129.839867742919
401.2439	129.838149986709
401.74161	129.83665390081
402.23923	129.832823078778
402.73676	129.822724838645
403.23416	129.811508053701
403.73148	129.798937021129
404.22867	129.792004418914
404.72577	129.788408321032
405.22278	129.78479993934
405.71967	129.781091396084
406.21643	129.777049727799
406.71313	129.772515007931
407.20972	129.769529432829
407.70618	129.767689810188
408.20255	129.765842387157
408.69882	129.763823132173
409.19498	129.762795515024
409.69104	129.762410953259
410.18698	129.76153606642
410.68283	129.758890912723
411.17859	129.755270502023
411.67422	129.750068034272
412.16977	129.745026674207
412.66519	129.740655809829
413.16052	129.73516337554
413.65573	129.727383089563
414.15088	129.720234963685
414.64587	129.713528047227
415.14078	129.710723791125
415.63559	129.710141951967
416.13031	129.709615594618
416.62491	129.709085090097
417.11938	129.70800346414
417.6138	129.703780113674
418.10806	129.697155064772
418.60226	129.685433118546
419.09634	129.674510315142
419.5903	129.665707038894
420.0842	129.661279717238
420.57794	129.66036444816
421.07162	129.659127592273
421.56516	129.654563178245
422.05862	129.649114077903
422.55197	129.643566709746
423.04523	129.640382562004
423.53836	129.639752926726
424.0314	129.639404061946
424.52432	129.639204643541
425.01715	129.63896359541
425.50989	129.638189958856
426.0025	129.636998805679
426.49503	129.635594359226
426.98743	129.633677683813
427.47974	129.630837183419
427.97195	129.626650718547
428.46405	129.619280700129
428.95605	129.609876811754
429.44794	129.60087009392
429.93973	129.592876853653
430.4314	129.587748077404
430.92297	129.584096224246
431.41446	129.581905841912
431.90582	129.580324256762
432.39709	129.579103480703
432.88824	129.577850906235
433.3793	129.573272538058
433.87027	129.564718853381
434.36111	129.556847409165
434.85187	129.549982710107
435.3425	129.54844235053
435.83304	129.547829773518
436.32349	129.545463084469
436.81381	129.540305711989
437.30405	129.535177013964
437.79416	129.530092208552
438.28418	129.528145528408
438.77408	129.527293848338
439.26389	129.526002860079
439.7536	129.524191679791
440.24319	129.522176605963
440.7327	129.519902305994
441.22208	129.51698490489
