wavelength_nm,m11,m12,m13,m14,m21,m22,m23,m24,m31,m32,m33,m34,m41,m42,m43,m44,M00_transmission
400.24814,1.0,0.043162092445592756,0.07090739765602229,0.024982544567552858,-0.008717168243179117,0.06018358493087285,0.6796785830430964,-0.7239441703146791,0.016484771029358105,0.6597865204797619,0.6331445866213131,0.6392610807865088,0.057313907207987,0.8001208402759437,-0.6818929448661332,-0.520501958585976,0.7579192962905371
400.74606,1.0,-0.0003356970530824297,0.08266403706352846,0.021904636746813484,0.037687659010524774,-0.012832763863875381,0.6498596925575673,-0.7643537522408065,0.0373995501876539,0.5550422756114652,0.7978850448121765,0.5655909498689542,-0.00570123076417236,0.8037987343567901,-0.5328732728042225,-0.5341328480449297,0.7513317770245813
401.2439,1.0,-0.03612713666404483,0.09248790392308077,0.02636092872354019,0.039086773952739816,0.024188324768444108,0.7747267060280767,-0.683120322126218,0.002785410235720155,0.5980279409211532,0.6905706400239383,0.5786704552056107,0.06116325459863098,0.7471808167652648,-0.5500155955959937,-0.5229798737183069,0.7604428539306529
401.74161,1.0,0.0010106409316943954,0.030164422878929863,0.016371512155390223,-0.028002264762259997,-0.018035475872248286,0.7519913316102109,-0.7153160501441472,0.003948475180176744,0.6691588839283154,0.6341514505390352,0.477282111747237,0.010267717993671282,0.8379657461146789,-0.575806420130156,-0.5106994830653343,0.7799545421208292
402.23923,1.0,-0.02436471200191125,-0.003459364297435201,0.020635264065248817,0.019204615887977117,-0.008640353872039042,0.6119214524123473,-0.6737614439425138,0.0934769557179507,0.7576355228224464,0.6486752795983579,0.4427285441213271,0.0033254654470955595,0.9759932831097028,-0.6362259037773322,-0.3980613026481911,0.7830200244317095
402.73676,1.0,-0.02885732562155415,0.028817456766792864,-0.010249990629196896,-0.01847539697338275,0.049398632448847436,0.679208908322381,-0.7388556096130869,0.07349120621566789,0.7467518944367014,0.6722325992717476,0.49026152407292806,0.010502556918605995,0.9152334046833409,-0.7062299275758969,-0.4553264458042709,0.7558286023542024
403.23416,1.0,-0.018209375892976165,0.007629934562347575,0.0014435426307741273,-0.09469294679938856,0.17452001659381194,0.6082639436397228,-0.7389636131779346,0.01586367313423339,0.7236518746603575,0.7050447326379072,0.5323917344285906,0.02307057141405131,0.9377419303190101,-0.4521182062739356,-0.3569159207670137,0.775062170037554
403.73148,1.0,0.0015181789773513934,0.024737412359504014,-0.05747421099230753,-0.07324243245558698,0.07241900410498922,0.6435393264722262,-0.9245133326526471,0.045559717856887186,0.8185441192436987,0.47776705995110125,0.636522910274904,0.0011007823113352538,0.8704794456595879,-0.4702624770576183,-0.21723067059301282,0.7775043755222938
404.22867,1.0,-0.03497665853529207,0.0016267932769659654,0.05084681050586292,0.009633840383187054,0.005313697025523942,0.7659357866660268,-0.887147687878954,-0.019958682180053255,0.7156070615991671,0.4979318488647507,0.47997495393571754,0.011120575732658481,0.8099453385312688,-0.45321052481740676,-0.2423151103806746,0.7780213239524723
404.72577,1.0,-0.019480686968016348,0.011189954269730115,0.0683161634912526,-0.005071218085775699,0.08728193828442832,0.7110034957827656,-0.8269660727432527,-0.04065599943198329,0.7943163721966148,0.4371846002358891,0.4491073297291871,0.02739366832439052,0.8431526472478806,-0.4518495894754671,-0.22574419204576596,0.768638158623828
405.22278,1.0,-0.02450467163009022,0.017208389867276318,0.04456151368854378,-0.0213423278310381,0.07574882940921249,0.7098497638197445,-0.9103230520743854,0.0030952375374106735,0.8087272079087606,0.4133984984709876,0.5703979018909355,0.033184576007153986,0.7453788695819205,-0.3957290571538101,-0.30517150618018934,0.7698984283201756
405.71967,1.0,-0.007586315319248922,0.050343955438594275,0.014350846094732887,-0.0037113531665403264,0.05741783819918716,0.7315866442214508,-0.8035435999611055,0.010357440273495085,0.7442036553773956,0.5664626507565891,0.4455020480622794,-0.012882922486605481,0.7159509087559508,-0.40576255900644886,-0.48120633363867144,0.7759603300489373
406.21643,1.0,-0.0393087411688837,0.028165053065659473,-0.021096075324214498,-6.833154403308501e-06,0.05224640483765916,0.7180121564291123,-0.7844217269718572,-0.027738448940342803,0.6952518149527173,0.6439214402345125,0.42959335071483906,-0.04883627907775724,0.7947772330172626,-0.46924622442349867,-0.3699913977692909,0.777203213192211
406.71313,1.0,-0.021356585009135773,-0.01095324707979804,0.013107195654569762,-0.05254832015500277,0.08792203541947292,0.7615720687472807,-0.7180083658893766,-0.00979270811704629,0.6329892719685684,0.6490248015170971,0.45439755308024127,0.028747624038926452,0.7423668484026688,-0.610780528184348,-0.405648244013417,0.7912476052694516
407.20972,1.0,0.0032620468316168928,-0.02915723373328462,0.013209726827840758,-0.05112515654762435,0.05576279892149437,0.6873791122319973,-0.6966028972789171,0.018584859940399302,0.6878495290698421,0.5910603696093323,0.5150278665014799,0.06802124087920446,0.6870535212600725,-0.625457689778501,-0.4631228857561131,0.7848530549200534
407.70618,1.0,-0.006930824348551158,-0.044860909257009834,0.06510431350178628,-0.0464426454019542,0.02393991257927627,0.7743683101209609,-0.784599721754094,-0.04061969011539728,0.772495974910228,0.6829343199336401,0.5315199510881057,0.057149979759676284,0.8114646136592355,-0.5546238319788882,-0.4585068070474528,0.8021934968015161
408.20255,1.0,-0.01222790143441485,0.0029774826272150026,0.046878951546746914,-0.016251569219076185,0.022143510802877863,0.6799196253141077,-0.6471096640328772,-0.020508002987081296,0.7854126540369891,0.6882139212011946,0.5815382687873926,0.032348234406307956,0.8220315422630268,-0.36244293476220146,-0.5119234869015454,0.7776603035168036
408.69882,1.0,0.005576164495836134,-0.006652819290561042,0.005975290915142503,-0.00872947832945247,0.04509635170186298,0.7137160297043145,-0.6960596429047989,-0.0029010069551208524,0.698462264958384,0.6507174519556496,0.5020848741510738,0.005426161537473163,0.8313471149907319,-0.43046164588776925,-0.4144902033299488,0.7846074398503301
